City,Compounded_polarity
Mumbai,5.719
Mumbai,7.783
Mumbai,6.72
Mumbai,7.184
Mumbai,-5.216
Mumbai,9.448
Mumbai,5.806
Mumbai,4.404
Mumbai,9.059
Mumbai,9.246
Mumbai,6.58
Mumbai,7.894
Mumbai,3.612
Mumbai,8.225
Mumbai,7.43
Mumbai,2.023
Mumbai,4.019
Mumbai,8.225
Mumbai,6.486
Mumbai,5.983
Mumbai,9.169
Mumbai,7.096
Mumbai,6.571
Mumbai,6.369
Mumbai,5.994
Mumbai,7.964
Mumbai,8.402
Mumbai,5.859
Mumbai,4.404
Mumbai,3.4
Mumbai,6.239
Mumbai,4.588
Mumbai,5.859
Mumbai,-3.724
Mumbai,6.571
Mumbai,5.719
Mumbai,8.074
Mumbai,8.424
Mumbai,6.369
Mumbai,8.126
Mumbai,8.555
Mumbai,5.994
Mumbai,5.994
Mumbai,6.841
Mumbai,2.96
Mumbai,-0.772
Mumbai,8.834
Mumbai,9.442
Mumbai,5.994
Mumbai,4.404
Mumbai,8.834
Mumbai,8.823
Mumbai,5.994
Mumbai,5.994
Mumbai,8.881
Mumbai,5.859
Mumbai,8.829
Mumbai,7.088
Mumbai,-7.269
Mumbai,6.688
Mumbai,6.239
Mumbai,6.44
Mumbai,7.243
Mumbai,2.5
Mumbai,8.829
Mumbai,-3.612
Mumbai,7.964
Mumbai,3.182
Mumbai,3.612
Mumbai,6.239
Mumbai,9.239
Mumbai,4.215
Mumbai,7.65
Mumbai,8.55
Mumbai,5.423
Mumbai,7.43
Mumbai,8.55
Mumbai,5.994
Mumbai,7.243
Mumbai,8.689
Mumbai,3.182
Mumbai,6.36
Mumbai,5.526
Mumbai,7.125
Mumbai,9.059
Mumbai,5.994
Mumbai,5.994
Mumbai,7.633
Mumbai,8.513
Mumbai,2.732
Mumbai,4.939
Mumbai,4.588
Mumbai,6.688
Mumbai,6.531
Mumbai,7.65
Mumbai,3.182
Mumbai,7.269
Mumbai,3.4
Mumbai,4.885
Mumbai,5.267
Mumbai,5.994
Mumbai,5.859
Mumbai,-5.267
Mumbai,5.994
Mumbai,6.369
Mumbai,7.184
Mumbai,5.869
Mumbai,-4.939
Mumbai,4.019
Mumbai,6.688
Mumbai,2.732
Mumbai,7.184
Mumbai,4.588
Mumbai,3.182
